instanciaId,politicaId,nombrePolitica,origenDatos,rutaEjecutadaCodificada,rutaEjecutadaLegible,carrilesVisitados,actividadesVisitadas,decisionesTomadas,cantidadObservaciones,cantidadNodos,cantidadDecisiones,cantidadForks,cantidadJoins,cantidadRetornos,cantidadReprocesos,cantidadDocumentos,cantidadFuncionariosInvolucrados,duracionPromedioHistorica,nodoMasLento,actividadMasLenta,carrilMasLento,cuelloBotellaLabel,anomaliaLabel,riesgoDemoraLabel,prioridadActual,prioridadRecomendadaLabel,rutaRecomendadaLabel,rutaRecomendadaLegible,motivoRecomendacion
SIM-LOCAL-2f556c18,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5fc54695,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-42f4d7bf,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,1,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-c3405108,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,1,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-bf2376ab,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ae0bfaff,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-eae72024,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-236a4a88,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-10a5da17,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-cd3e7c42,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5757829c,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-bee6a7ea,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-79efc679,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,1,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-82db73c2,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-68a61c1d,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-bc01ac0e,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-3b833472,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-45279be4,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-08b70e19,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-336e6db7,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-8c928961,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-297f0082,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5f7768e5,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-a6e091cc,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-55be2a25,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-a583de17,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-bb47a990,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ab2d0a82,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-89a9aea7,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-e833a8be,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-b1056bc0,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-06208ce3,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-e10d8325,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5754367a,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-6e8840b6,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-8218a5c5,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-9cff6d26,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-4205b1ba,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-45ac01dc,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-df09877d,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-138ea5ab,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ae59bb34,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-f1bf0637,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-c88bf119,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-96de95ae,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-1b11301b,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-562dd4e4,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-04047f28,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-440e961a,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-31fff600,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-eba77be0,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ae3dd120,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,1,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-aa224dd8,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-5fe631ed,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-325eac3c,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,1,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-dd4aa9da,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-ff184f6a,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,3,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-045e7cec,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-17124dc1,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-e62d9632,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-43c197d3,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-cde084db,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,2,0.0,Ninguna,Ninguna,General,0,0,0,NORMAL,NORMAL,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-b95bb9aa,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,0,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-26809f3d,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,5,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-fb0dde52,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,4,2,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-a609ebec,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,2,1,0.0,Ninguna,Ninguna,General,0,0,0,ALTA,ALTA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
SIM-LOCAL-58036800,69e1df617696f1128cf873c5,Solicitar instalacion de internet WiFi,SIMULADO_LOCAL,inicio,Inicio,General,Ninguna,Ninguna,0,1,0,0,0,0,0,6,0,0.0,Ninguna,Ninguna,General,0,0,0,BAJA,BAJA,RUTA_ACTUAL,Inicio,Generado localmente para volumen de DL.
