texto,politicaId,nombrePolitica
favor de cambiar domicilio del internet,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
agendar revision tecnica urgente por favor,WIFI_VISITA_TECNICA,Visita tecnica
necesito tecnico en mi direccion gracias,WIFI_VISITA_TECNICA,Visita tecnica
subir captura del pago de wifi ya mismo,WIFI_REGISTRAR_PAGO,Registro de pago
hacer puedo modificar el paquete que tengo porfa,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
ayuda para manden nuevamente mi factura al correo urgente,WIFI_DUPLICADO_FACTURA,Duplicado de factura
por favor copia de factura internet de la oficina,WIFI_DUPLICADO_FACTURA,Duplicado de factura
quiero ver factura mensual de wifi rapido,WIFI_CONSULTAR_FACTURA,Consulta de factura
quisiera me pueden instalar internet esta semana por favor,WIFI_INSTALACION,Instalacion de internet WiFi
solicito que otra persona figure como titular cuanto antes,WIFI_CAMBIO_TITULAR,Cambio de titular
favor de perdi mi factura y necesito otra urgente por favor,WIFI_DUPLICADO_FACTURA,Duplicado de factura
necesito pedir contratar internet de inmediato,WIFI_INSTALACION,Instalacion de internet WiFi
hacer baja del servicio rapido,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
deseo contratar internet para mi casa en mi casa,WIFI_INSTALACION,Instalacion de internet WiFi
quiero confirmar que pague la factura,WIFI_REGISTRAR_PAGO,Registro de pago
pueden ayudarme a habilitar wifi nuevamente hoy mismo,WIFI_RECONEXION,Reconexion de servicio
por favor soporte para router cuanto antes,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
deseo ver el monto pendiente para mi cuenta,WIFI_CONSULTAR_FACTURA,Consulta de factura
quisiera arreglar mis datos de contacto,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
ayuda para seguimiento de instalacion wifi por favor,WIFI_ESTADO_INSTALACION,Estado de instalacion
busco cambiar propietario del servicio urgente por favor,WIFI_CAMBIO_TITULAR,Cambio de titular
como solicito seguimiento de la instalacion para mi cuenta,WIFI_ESTADO_INSTALACION,Estado de instalacion
hacer obtener copia de mi factura rapido,WIFI_DUPLICADO_FACTURA,Duplicado de factura
busco reportar pago de internet urgente,WIFI_REGISTRAR_PAGO,Registro de pago
tengo que puedo cambiar mi turno tecnico ahora,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
solicito mis datos estan mal en el sistema porfa,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
hacer mi router no enciende de la oficina,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
como puedo cambiar mi numero de celular lo antes posible,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
como hago para registren mi pago urgente por favor,WIFI_REGISTRAR_PAGO,Registro de pago
necesito me ayudan a cambiar nombre de red porfa,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
debo mis datos estan mal en el sistema de la oficina,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
necesito pedir contratar wifi para mi negocio urgente por favor,WIFI_INSTALACION,Instalacion de internet WiFi
quiero pedir renovacion de equipo de la oficina,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
que revisen la instalacion en casa urgente,WIFI_VISITA_TECNICA,Visita tecnica
necesito pedir me ayudan a cambiar mi contrasena wifi rapido,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
necesito pedir puedo cambiar mi turno tecnico de la oficina,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
ayuda para mi plan dice un precio y factura otro lo antes posible,WIFI_RECLAMO_COBRO,Reclamo de cobro
deseo visita tecnica para mi internet hoy mismo,WIFI_VISITA_TECNICA,Visita tecnica
necesito pedir cuando me reconectan el servicio lo antes posible,WIFI_RECONEXION,Reconexion de servicio
busco mejorar la velocidad sin cambiar domicilio lo antes posible,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
por favor tengo reclamo por factura inflada,WIFI_RECLAMO_COBRO,Reclamo de cobro
solicito no puedo conectarme a internet lo antes posible,WIFI_INTERNET_CAIDO,Internet caido
quiero pedir factura con monto equivocado ya mismo,WIFI_RECLAMO_COBRO,Reclamo de cobro
favor de modificar la clave wifi urgente,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
busco copia de factura internet,WIFI_DUPLICADO_FACTURA,Duplicado de factura
quisiera reportar pago de internet ahora,WIFI_REGISTRAR_PAGO,Registro de pago
favor de tengo reclamo por factura inflada ahora,WIFI_RECLAMO_COBRO,Reclamo de cobro
quiero pedir que revisen mi cobro para mi cuenta,WIFI_RECLAMO_COBRO,Reclamo de cobro
necesito pedir trasladar mi internet a otra casa para mi cuenta,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
busco cuando vence mi pago de internet porfa,WIFI_CONSULTAR_FACTURA,Consulta de factura
porfa cambiar la llave de acceso porfa,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
busco cambiar ssid wifi hogar de inmediato,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
ayuda para mi equipo no reparte senal wifi ya mismo,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
necesito pedir coordinar revision del servicio gracias,WIFI_VISITA_TECNICA,Visita tecnica
necesito hacer aumentar velocidad de internet,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
me pueden ayudar con me ofrecen otro plan para cambiarme,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
necesito pedir que mi internet sea mas rapido lo antes posible,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
quisiera me pueden mostrar mi factura actual hoy mismo,WIFI_CONSULTAR_FACTURA,Consulta de factura
quiero pedir cambiar telefono de contacto cuanto antes,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
como puedo editar informacion de cliente por favor,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
necesito pedir cuando activan mi servicio nuevo de la oficina,WIFI_ESTADO_INSTALACION,Estado de instalacion
quiero cambiar el nombre del contrato de la oficina,WIFI_CAMBIO_TITULAR,Cambio de titular
me pueden ayudar con pueden cambiar el nombre visible del wifi de la oficina,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
tengo que trasladar mi internet a otra casa porfa,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
reprogramar tecnico para el viernes rapido,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
debo el problema necesita que vengan a ver,WIFI_VISITA_TECNICA,Visita tecnica
quisiera las luces del router estan apagadas urgente,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
debo transferir titularidad wifi de inmediato,WIFI_CAMBIO_TITULAR,Cambio de titular
me pueden ayudar con no hay internet en ningun equipo urgente,WIFI_INTERNET_CAIDO,Internet caido
me gustaria se pone lento el internet hoy mismo,WIFI_INTERNET_LENTO,Internet lento
tengo que no usare mas el servicio para mi cuenta,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
necesito pedir solicitar soporte presencial,WIFI_VISITA_TECNICA,Visita tecnica
quiero mi familia necesita mas ancho de banda por favor,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
como hago para reconexion de internet lo antes posible,WIFI_RECONEXION,Reconexion de servicio
quiero cambiar mi paquete de wifi ya mismo,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
solicito se puede hacer mas rapido mi wifi de la oficina,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
hacer no reconozco el cobro porfa,WIFI_RECLAMO_COBRO,Reclamo de cobro
necesito hacer el servicio no esta caido pero va mal en mi casa,WIFI_INTERNET_LENTO,Internet lento
mi wifi queda corto cuando uso netflix urgente,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
debo renovacion de equipo gracias,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
deseo reclamar porque el monto esta mal urgente por favor,WIFI_RECLAMO_COBRO,Reclamo de cobro
solicito editar la informacion de mi contrato de la oficina,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
consultar avance de internet contratado ya mismo,WIFI_ESTADO_INSTALACION,Estado de instalacion
modificar correo registrado,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
necesito hacer actualizar mi plan mensual cuanto antes,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
busco mover fecha de visita porfa,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
me gustaria pueden cambiarme el modem en mi casa,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
deseo otro plan de internet hoy mismo,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
necesito hacer me voy de la ciudad y quiero cancelar en mi casa,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
deseo mi internet no funciona ya mismo,WIFI_INTERNET_CAIDO,Internet caido
deseo cambiar la velocidad contratada urgente por favor,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
como hago para el modem no da internet urgente por favor,WIFI_INTERNET_CAIDO,Internet caido
necesito reemplazar el modem viejo,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
tengo que mi apellido figura incorrecto,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
hacer baja del servicio de la oficina,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
me gustaria mi internet anda lento y falla,WIFI_INTERNET_LENTO,Internet lento
quiero pedir internet lento para clases virtuales de inmediato,WIFI_INTERNET_LENTO,Internet lento
porfa manden nuevamente mi factura al correo para mi cuenta,WIFI_DUPLICADO_FACTURA,Duplicado de factura
quiero pedir ya hice el deposito del servicio urgente por favor,WIFI_REGISTRAR_PAGO,Registro de pago
como solicito mi internet funciona pero quiero mas megas ya mismo,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
hacer cancelar mi servicio en mi casa,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
por favor no usare mas el servicio por favor,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
me gustaria cambiar de plan ya mismo,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
quisiera cambiar la velocidad contratada lo antes posible,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
deseo reemplazar el modem viejo porfa,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
poner servicio a nombre de otra persona para mi cuenta,WIFI_CAMBIO_TITULAR,Cambio de titular
porfa que revisen la instalacion en casa,WIFI_VISITA_TECNICA,Visita tecnica
solicito pasar contrato a otro titular gracias,WIFI_CAMBIO_TITULAR,Cambio de titular
porfa descargar factura otra vez hoy mismo,WIFI_DUPLICADO_FACTURA,Duplicado de factura
me gustaria actualizar la password de la red de la oficina,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
como hago para ya pague reconecten internet de inmediato,WIFI_RECONEXION,Reconexion de servicio
como puedo monto de factura actual ahora,WIFI_CONSULTAR_FACTURA,Consulta de factura
necesito cambio de titular urgente,WIFI_CAMBIO_TITULAR,Cambio de titular
me pueden ayudar con estoy sin internet de la oficina,WIFI_INTERNET_CAIDO,Internet caido
solicito tengo reclamo por factura inflada,WIFI_RECLAMO_COBRO,Reclamo de cobro
como solicito router con luces rojas urgente por favor,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
como solicito como cambio el password del internet hoy mismo,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
pueden ayudarme a copia de la factura del mes gracias,WIFI_DUPLICADO_FACTURA,Duplicado de factura
busco poner una clave nueva al router urgente por favor,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
ayuda para cambiar el nombre de mi red ya mismo,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
favor de mi apellido figura incorrecto,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
pueden ayudarme a migrar a un plan familiar hoy mismo,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
quiero pedir mi router tiene una luz roja urgente por favor,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
pueden ayudarme a no hay internet en ningun equipo de la oficina,WIFI_INTERNET_CAIDO,Internet caido
hacer revision en mi domicilio rapido,WIFI_VISITA_TECNICA,Visita tecnica
como puedo voy a cambiar de direccion y necesito internet urgente,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
por favor no tengo internet urgente por favor,WIFI_INTERNET_CAIDO,Internet caido
pueden ayudarme a editar la informacion de mi contrato de inmediato,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
como puedo mayor velocidad para jugar online de inmediato,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
necesito pedir no puedo conectarme a internet,WIFI_INTERNET_CAIDO,Internet caido
como hago para modificar la clave wifi de inmediato,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
necesito reagendar la visita pendiente porfa,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
quiero pedir que instalen router y servicio rapido,WIFI_INSTALACION,Instalacion de internet WiFi
recuperar el servicio cortado urgente por favor,WIFI_RECONEXION,Reconexion de servicio
como hago para ya pague para que activen el servicio gracias,WIFI_RECONEXION,Reconexion de servicio
necesito el equipo esta caliente y falla de inmediato,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
pueden ayudarme a tecnico en mi direccion ahora,WIFI_VISITA_TECNICA,Visita tecnica
pueden ayudarme a pasar mi wifi a mi nueva vivienda de inmediato,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
pueden ayudarme a no reconozco este cargo del internet por favor,WIFI_RECLAMO_COBRO,Reclamo de cobro
necesito atrasar mi cita de soporte cuanto antes,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
busco no estare en casa cuando venga el tecnico ahora,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
como puedo copia de mi recibo urgente por favor,WIFI_DUPLICADO_FACTURA,Duplicado de factura
quisiera me voy de la ciudad y quiero cancelar porfa,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
necesito hacer ya pague y quiero subir el comprobante porfa,WIFI_REGISTRAR_PAGO,Registro de pago
necesito me llego deuda que ya no corresponde,WIFI_RECLAMO_COBRO,Reclamo de cobro
ayuda para como hago otra clave para mi internet cuanto antes,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
ayuda para todo carga demasiado lento ya mismo,WIFI_INTERNET_LENTO,Internet lento
mi plan actual ya no me sirve de la oficina,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
necesito pedir mi router esta danado quiero otro ya mismo,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
necesito hacer solicitar tecnico presencial en mi casa,WIFI_VISITA_TECNICA,Visita tecnica
hacer soporte para router de inmediato,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
deseo mi plan actual ya no me sirve porfa,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
busco solicitar cambio de equipo,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
necesito hacer no hay internet en ningun equipo rapido,WIFI_INTERNET_CAIDO,Internet caido
deseo asistencia tecnica presencial por favor,WIFI_VISITA_TECNICA,Visita tecnica
me gustaria mejorar la velocidad del internet gracias,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
solicito duplicado de factura gracias,WIFI_DUPLICADO_FACTURA,Duplicado de factura
deseo resetear la clave del wifi en mi casa,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
quisiera cambiar telefono registrado en mi cuenta cuanto antes,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
me gustaria cuando activan mi servicio nuevo gracias,WIFI_ESTADO_INSTALACION,Estado de instalacion
hacer activacion despues de pago rapido,WIFI_RECONEXION,Reconexion de servicio
necesito pedir mayor velocidad para jugar online por favor,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
me gustaria renombrar la red de internet urgente por favor,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
me pueden ayudar con renombrar mi red wifi lo antes posible,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
necesito hacer consultar instalacion pendiente cuanto antes,WIFI_ESTADO_INSTALACION,Estado de instalacion
ayuda para el router prende pero no da red por favor,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
pueden ayudarme a pasar cuenta de internet a otro nombre lo antes posible,WIFI_CAMBIO_TITULAR,Cambio de titular
como puedo me ayudan a cambiar mi contrasena wifi urgente,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
solicito reclamar cobro incorrecto porfa,WIFI_RECLAMO_COBRO,Reclamo de cobro
quisiera servicio de wifi por primera vez lo antes posible,WIFI_INSTALACION,Instalacion de internet WiFi
necesito coordinar revision del servicio por favor,WIFI_VISITA_TECNICA,Visita tecnica
tengo que soporte para configurar router por favor,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
quiero pedir pague menos antes y ahora subio sin aviso lo antes posible,WIFI_RECLAMO_COBRO,Reclamo de cobro
necesito pedir mi plan dice un precio y factura otro para mi cuenta,WIFI_RECLAMO_COBRO,Reclamo de cobro
hacer cambiar password wifi cuanto antes,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
ayuda para mi factura vino con un monto incorrecto para mi cuenta,WIFI_RECLAMO_COBRO,Reclamo de cobro
porfa contratar wifi para casa lo antes posible,WIFI_INSTALACION,Instalacion de internet WiFi
como solicito cambio del dispositivo wifi de la oficina,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
favor de instalar wifi en mi domicilio en mi casa,WIFI_INSTALACION,Instalacion de internet WiFi
como hago para mi internet esta muy lento para mi cuenta,WIFI_INTERNET_LENTO,Internet lento
necesito pedir verificar fecha de instalacion urgente por favor,WIFI_ESTADO_INSTALACION,Estado de instalacion
necesito llevar internet actual a nueva casa para mi cuenta,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
me pueden ayudar con como modifico el ssid del router ya mismo,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
hacer atrasar mi cita de soporte de inmediato,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
hacer solicitar otro equipo gracias,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
como hago para renovar la contrasena de wifi cuanto antes,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
porfa mi modem hace ruido y no conecta de la oficina,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
necesito hacer duplicado de factura por favor,WIFI_DUPLICADO_FACTURA,Duplicado de factura
pueden ayudarme a el recibo tiene un cargo raro gracias,WIFI_RECLAMO_COBRO,Reclamo de cobro
busco cuando me reconectan el servicio para mi cuenta,WIFI_RECONEXION,Reconexion de servicio
debo la velocidad esta baja urgente,WIFI_INTERNET_LENTO,Internet lento
como puedo visita tecnica gracias,WIFI_VISITA_TECNICA,Visita tecnica
tengo que otro nombre para mi red hogar cuanto antes,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
como puedo que revisen mi cobro,WIFI_RECLAMO_COBRO,Reclamo de cobro
me pueden ayudar con cambiar router danado en mi casa,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
hacer editar informacion de cliente porfa,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
porfa anular servicio de wifi en mi casa,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
necesito pedir solicitar soporte presencial porfa,WIFI_VISITA_TECNICA,Visita tecnica
necesito ya pague la deuda de internet urgente por favor,WIFI_REGISTRAR_PAGO,Registro de pago
quisiera me cambio de departamento y quiero conservar wifi hoy mismo,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
necesito hacer confirmar que pague la factura en mi casa,WIFI_REGISTRAR_PAGO,Registro de pago
tengo que cuando me reconectan el servicio hoy mismo,WIFI_RECONEXION,Reconexion de servicio
solicito cambio de equipo wifi de inmediato,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
favor de editar informacion de cliente gracias,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
hacer actualizar mi plan mensual ya mismo,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
tengo que no puedo recibirlos hoy cambien la visita lo antes posible,WIFI_REPROGRAMAR_VISITA,Reprogramacion de visita tecnica
necesito pedir me dicen el saldo de mi cuenta en mi casa,WIFI_CONSULTAR_FACTURA,Consulta de factura
quiero cortar definitivamente el internet,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
que habiliten internet otra vez de inmediato,WIFI_RECONEXION,Reconexion de servicio
necesito hacer copia de la factura del mes lo antes posible,WIFI_DUPLICADO_FACTURA,Duplicado de factura
solicito alguien sabe mi contrasena y quiero cambiarla de la oficina,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
hacer reclamar un cobro indebido de la oficina,WIFI_RECLAMO_COBRO,Reclamo de cobro
como puedo consultar mi instalacion pendiente urgente por favor,WIFI_ESTADO_INSTALACION,Estado de instalacion
quisiera solicitar otro equipo porfa,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
hacer transferir titularidad wifi de inmediato,WIFI_CAMBIO_TITULAR,Cambio de titular
me pueden ayudar con modificar correo registrado en mi casa,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
quisiera desde ayer no tengo senal de internet porfa,WIFI_INTERNET_CAIDO,Internet caido
pueden ayudarme a terminar el servicio por mudanza,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
como solicito que revisen la instalacion en casa urgente,WIFI_VISITA_TECNICA,Visita tecnica
como puedo mejorar la velocidad sin cambiar domicilio para mi cuenta,WIFI_MEJORAR_VELOCIDAD,Mejora de velocidad WiFi
solicito actualizar informacion del cliente ya mismo,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
como hago para me ayudan a cambiar nombre de red de la oficina,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
como hago para cambiar password wifi de inmediato,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
ayuda para poner otro nombre al wifi para mi cuenta,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
quiero el modem esta bloqueado rapido,WIFI_SOPORTE_MODEM_ROUTER,Soporte de modem o router
deseo cuando instalan mi internet rapido,WIFI_ESTADO_INSTALACION,Estado de instalacion
solicito cambio de equipo wifi gracias,WIFI_CAMBIO_EQUIPO,Cambio de equipo WiFi
quiero tengo reclamo por factura inflada hoy mismo,WIFI_RECLAMO_COBRO,Reclamo de cobro
solicito consultar opciones para cambiar plan lo antes posible,WIFI_CAMBIO_PLAN,Cambio de plan WiFi
quiero pedir se pone lento el internet gracias,WIFI_INTERNET_LENTO,Internet lento
como hago para renovar la contrasena de wifi urgente,WIFI_CAMBIAR_PASSWORD,Cambio de contrasena WiFi
favor de actualizar mis datos personales de la oficina,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
mande pago por banco quiero avisar de inmediato,WIFI_REGISTRAR_PAGO,Registro de pago
necesito hacer cambiar domicilio del internet gracias,WIFI_TRASLADO_SERVICIO,Traslado de servicio WiFi
como solicito baja de wifi hogar ya mismo,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
me gustaria cambiar nombre del wifi de la oficina,WIFI_CAMBIAR_NOMBRE_RED,Cambio de nombre de red WiFi
como solicito editar informacion de cliente por favor,WIFI_ACTUALIZAR_DATOS,Actualizacion de datos
debo agendar una visita tecnica urgente por favor,WIFI_VISITA_TECNICA,Visita tecnica
ya pague para que activen el servicio,WIFI_RECONEXION,Reconexion de servicio
por favor cortar definitivamente el internet en mi casa,WIFI_BAJA_SERVICIO,Baja de servicio WiFi
quiero pedir reconexion del wifi en mi casa,WIFI_RECONEXION,Reconexion de servicio
necesito hacer reportar transferencia realizada de la oficina,WIFI_REGISTRAR_PAGO,Registro de pago
